Sitio,O_acuminatus,O_nasutus,O_curvicornis,O_bidentatus,Onthophagus_sp,Canthidium_sp.1,Canthidium_sp.2,Uroxys_sp.1,Uroxys_sp.2,Canthon_sp,O_conspicillatum,O_kirschii,C_corytus,D_allyates,D_belus,E_plebejus,E_caribaeus,Deltochilum_sp
B1_1.1,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0
B1_1.2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
B1_1.3,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0
B1_2.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B1_2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_2.3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_3.1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0
B1_3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B1_3.3,0,0,0,57,0,0,0,0,0,0,0,0,0,0,6,0,0,0
B2_1.1,12,0,7,0,0,0,2,20,1,1,0,0,0,0,1,2,2,0
B2_1.2,32,0,16,0,1,0,1,17,8,1,0,0,0,0,0,2,3,0
B2_1.3,18,0,8,0,0,0,0,22,5,2,1,0,0,0,0,6,9,0
B2_2.1,15,0,3,0,0,0,0,19,2,3,0,0,0,0,0,4,0,0
B2_2.2,15,0,3,0,0,0,3,21,3,1,0,0,0,0,0,8,0,0
B2_2.3,40,0,0,0,0,0,2,10,0,0,2,0,0,0,0,7,0,0
B2_3.1,6,0,5,0,1,4,13,13,6,9,0,0,0,0,0,1,3,0
B2_3.2,8,0,5,0,0,2,2,3,0,1,1,0,0,0,0,4,1,0
B2_3.3,16,0,6,0,0,0,4,3,0,0,0,0,0,0,1,3,0,0
B3_1.1,10,0,14,0,0,0,2,11,2,3,4,0,0,0,0,3,1,1
B3_1.2,43,0,20,0,0,0,2,22,5,10,7,0,0,0,0,11,1,0
B3_1.3,36,0,32,0,0,0,3,43,45,18,2,0,0,0,0,11,2,3
B3_2.1,69,5,4,0,0,0,0,8,2,6,4,2,0,1,3,5,3,0
B3_2.2,26,0,7,0,0,0,4,20,2,4,0,0,0,1,0,3,1,0
B3_2.3,33,1,10,0,0,0,0,5,3,16,3,0,0,0,0,3,1,0
B3_3.1,74,0,19,0,0,1,3,0,7,22,0,0,0,0,0,7,1,0
B3_3.2,9,0,6,0,0,0,0,0,2,9,0,0,0,0,0,1,0,0
B3_3.3,50,0,18,0,0,2,1,0,7,19,0,0,0,0,0,6,9,0
